carrera	organismo	tipo_org	estado	inicio1	fin1	inicio2	fin2	inicio3	fin3	inicio4	fin4	anio
Admin. (Lic.)	municipalidad de hernández	Público	Activo	2021-12-01	2022-11-30	2022-12-01	2023-05-31	NA	NA	NA	NA	2021
Admin. (Lic.)	lar	Privado/mixto	Activo	2022-11-14	2023-05-13	NA	NA	NA	NA	NA	NA	2022
Admin. (Lic.)	lar	Privado/mixto	Activo	2022-11-14	2023-05-13	NA	NA	NA	NA	NA	NA	2022
Admin. (Lic.)	agua nuestra s.a	Privado/mixto	Activo	2022-02-08	2023-02-07	NA	NA	NA	NA	NA	NA	2022
Admin. (Lic.)	agua nuestra s.a	Privado/mixto	Activo	2022-02-08	2023-02-07	NA	NA	NA	NA	NA	NA	2022
Marketing (Lic.)	canal nueve	Privado/mixto	Finalizado	2021-12-27	2022-06-26	2022-06-27	2022-12-26	NA	NA	NA	NA	2021
Marketing (Lic.)	capitales del interior	Privado/mixto	Activo	2022-06-08	2022-09-07	2022-09-08	2023-09-07	NA	NA	NA	NA	2022
Marketing (Lic.)	centro comercial e industrial de paraná	Privado/mixto	Activo	2022-06-02	2023-06-01	NA	NA	NA	NA	NA	NA	2022
Admin. (Lic.)	círculo odontológico	Privado/mixto	Activo	2022-07-01	2023-06-30	NA	NA	NA	NA	NA	NA	2022
Archiv. (Lic.)	redengas	Privado/mixto	Activo	2022-06-07	2023-06-06	NA	NA	NA	NA	NA	NA	2022
Archiv. (Lic.)	redengas	Privado/mixto	Activo	2022-06-24	2023-06-23	NA	NA	NA	NA	NA	NA	2022
Admin. (Lic.)	automotores mega s.a	Privado/mixto	Activo	2022-09-01	2023-02-28	NA	NA	NA	NA	NA	NA	2022
Marketing (Lic.)	ertic s.r.l	Privado/mixto	Activo	2022-12-01	2023-11-30	NA	NA	NA	NA	NA	NA	2022
Com. Int. (Lic.)	elevadores neumáticos s.a	Privado/mixto	Activo	2022-04-19	2022-10-18	2022-10-19	2023-10-18	NA	NA	NA	NA	2022
Turismo (Lic.)	túnel subfluvial	Privado/mixto	Activo	2021-12-07	2022-12-06	2022-12-07	2023-06-06	NA	NA	NA	NA	2021
Turismo (Lic.)	túnel subfluvial	Privado/mixto	Activo	2021-12-07	2022-12-06	2022-12-07	2023-06-06	NA	NA	NA	NA	2021
Turismo (Lic.)	túnel subfluvial	Privado/mixto	Activo	2022-12-07	2023-12-06	NA	NA	NA	NA	NA	NA	2022
Turismo (Lic.)	túnel subfluvial	Privado/mixto	Activo	2022-12-12	2023-12-11	NA	NA	NA	NA	NA	NA	2022
Archiv. (Lic.)	túnel subfluvial	Privado/mixto	Activo	2021-10-25	2022-10-24	2022-10-25	2023-04-24	NA	NA	NA	NA	2021
Turismo (Lic.)	túnel subfluvial	Privado/mixto	Activo	2022-06-07	2023-06-06	NA	NA	NA	NA	NA	NA	2022
Admin. (Lic.)	confort ingenieria	Privado/mixto	Activo	2022-12-06	2023-12-05	NA	NA	NA	NA	NA	NA	2022
Admin. (Lic.)	sidecreer	Privado/mixto	Activo	2021-10-18	2022-04-17	2022-04-18	2022-10-17	2022-10-18	2023-04-17	NA	NA	2021
Marketing (Lic.)	sidecreer	Privado/mixto	Activo	2021-10-18	2022-04-17	2022-04-18	2022-10-17	2022-10-18	2023-04-17	NA	NA	2021
Admin. (Lic.)	sidecreer	Privado/mixto	Activo	2021-10-18	2022-04-17	2022-04-18	2022-10-17	2022-10-18	2023-04-17	NA	NA	2021
Archiv. (Lic.)	sec. de modernización	Público	Activo	2022-05-09	2023-05-08	NA	NA	NA	NA	NA	NA	2022
Archiv. (Lic.)	sec de modernización	Público	Finalizado	2021-07-01	2022-06-30	2022-07-01	2022-12-31	NA	NA	NA	NA	2021
Adm. Pub. (Lic.)	sec de modernización	Público	Activo	2021-08-17	2022-08-16	2022-08-17	2023-02-16	NA	NA	NA	NA	2021
Archiv. (Lic.)	sec de modernización	Público	Activo	2021-08-23	2022-08-22	2022-08-23	2023-02-24	NA	NA	NA	NA	2021
Adm. Pub. (Lic.)	ater - dirección de asuntos jurídicos	Público	Activo	2021-09-10	2022-09-09	2022-09-10	2023-03-09	NA	NA	NA	NA	2021
Archiv. (Lic.)	ater - catastro	Público	Activo	2022-01-03	2023-01-02	2023-01-03	2023-07-02	NA	NA	NA	NA	2022
Biblio. (Tec.)	ater - catastro	Público	Activo	2022-01-03	2023-01-02	2023-01-03	2023-07-02	NA	NA	NA	NA	2022
Admin. (Lic.)	ater	Público	Activo	2022-03-15	2023-03-14	NA	NA	NA	NA	NA	NA	2022
Archiv. (Lic.)	ater	Público	Activo	2022-09-05	2023-09-04	NA	NA	NA	NA	NA	NA	2022
Archiv. (Lic.)	ater	Público	Activo	2022-09-05	2023-09-04	NA	NA	NA	NA	NA	NA	2022
Archiv. (Lic.)	ater - catastro	Público	Activo	2022-01-03	2023-01-02	2023-01-03	2023-07-02	NA	NA	NA	NA	2022
Archiv. (Lic.)	ater	Público	Activo	2023-01-09	2024-01-08	NA	NA	NA	NA	NA	NA	2023
Adm. Pub. (Lic.)	copnaf	Público	Activo	2021-09-06	2022-09-05	2022-09-06	2023-03-05	NA	NA	NA	NA	2021
Admin. (Lic.)	copnaf	Público	Activo	2021-09-06	2022-09-05	2022-09-06	2023-03-05	NA	NA	NA	NA	2021
Admin. (Lic.)	copnaf	Público	Activo	2021-09-06	2022-09-05	2022-09-06	2023-03-05	NA	NA	NA	NA	2021
Adm. Pub. (Lic.)	copnaf	Público	Activo	2021-09-06	2022-09-05	2022-09-06	2023-03-05	NA	NA	NA	NA	2021
Admin. (Lic.)	copnaf	Público	Activo	2021-09-06	2022-09-05	2022-09-06	2023-03-05	NA	NA	NA	NA	2021
TUEGSG (Tec.)	hospital de la baxada	Privado/mixto	Activo	2022-09-12	2023-03-11	NA	NA	NA	NA	NA	NA	2022
Archiv. (Lic.)	hospital de la baxada	Privado/mixto	Activo	2022-09-12	2023-03-11	NA	NA	NA	NA	NA	NA	2022
Admin. (Tec.)	sec. seguridad vial - municip. de paraná	Público	Activo	2022-03-15	2023-03-14	NA	NA	NA	NA	NA	NA	2022
Adm. Pub. (Lic.)	sec. inversión y empleo - municip. de paraná	Público	Activo	2021-08-09	2022-08-08	2022-08-09	2023-02-08	NA	NA	NA	NA	2021
Adm. Pub. (Lic.)	ministerio de salud	Público	Activo	2021-08-23	2022-08-22	2022-08-23	2023-02-22	NA	NA	NA	NA	2021
Admin. (Lic.)	ministerio de salud	Público	Activo	2022-05-17	2023-05-16	NA	NA	NA	NA	NA	NA	2022
Admin. (Lic.)	ministerio de salud	Público	Activo	2022-05-17	2023-05-16	NA	NA	NA	NA	NA	NA	2022
Adm. Pub. (Lic.)	dipj - ministerio de gobierno y justicia	Público	Activo	2021-10-15	2022-10-14	2022-10-15	2023-04-14	NA	NA	NA	NA	2021
Admin. (Lic.)	dipj - ministerio de gobierno y justicia	Público	Activo	2021-10-15	2022-10-14	2022-10-15	2023-04-14	NA	NA	NA	NA	2021
Admin. (Lic.)	dipj - ministerio de gobierno y justicia	Público	Activo	2021-10-15	2022-10-14	2022-10-15	2023-04-14	NA	NA	NA	NA	2021
Adm. Pub. (Lic.)	ministerio de gobierno y justicia	Público	Activo	2021-10-18	2022-10-17	2022-10-18	2023-04-17	NA	NA	NA	NA	2021
Admin. (Lic.)	ministerio de gobierno y justicia	Público	Activo	2021-10-18	2022-10-17	2022-10-18	2023-04-17	NA	NA	NA	NA	2021
Adm. Pub. (Lic.)	ministerio de gobierno y justicia	Público	Activo	2021-10-18	2022-10-17	2022-10-18	2023-04-17	NA	NA	NA	NA	2021
Admin. (Lic.)	ministerio de gobierno y justicia	Público	Activo	2021-10-18	2022-10-17	2022-10-18	2023-04-17	NA	NA	NA	NA	2021
Admin. (Lic.)	ministerio de gobierno y justicia	Público	Activo	2021-10-18	2022-10-17	2022-10-18	2023-04-17	NA	NA	NA	NA	2021
Archiv. (Lic.)	caja de juilaciones	Público	Activo	2021-11-08	2022-11-07	2022-11-08	2023-05-07	NA	NA	NA	NA	2021
Archiv. (Lic.)	caja de juilaciones	Público	Activo	2021-11-08	2022-11-07	2022-11-08	2023-05-07	NA	NA	NA	NA	2021
Adm. Pub. (Lic.)	caja de juilaciones	Público	Activo	2022-06-14	2023-06-13	NA	NA	NA	NA	NA	NA	2022
Adm. Pub. (Lic.)	caja de juilaciones	Público	Activo	2022-12-15	2023-12-14	NA	NA	NA	NA	NA	NA	2022
Adm. Pub. (Lic.)	caja de juilaciones	Público	Activo	2022-06-14	2023-06-13	NA	NA	NA	NA	NA	NA	2022
Admin. (Lic.)	contaduría gral de la prov	Público	Activo	2021-11-01	2022-10-31	2022-11-01	2023-04-30	NA	NA	NA	NA	2021
Com. Int. (Lic.)	ente región centro - sec. gral de la gobernación	Público	Activo	2022-12-01	2023-11-30	NA	NA	NA	NA	NA	NA	2022
Marketing (Lic.)	ente región centro - sec. gral de la gobernación	Público	Activo	2022-03-07	2023-03-06	NA	NA	NA	NA	NA	NA	2022
Biblio. (Tec.)	museo martiniano leguizamón - sec. gral de la gobernación	Público	Activo	2022-12-01	2023-05-31	NA	NA	NA	NA	NA	NA	2022
Archiv. (Lic.)	sec. gral de la gobernación	Público	Activo	2022-09-01	2023-02-28	NA	NA	NA	NA	NA	NA	2022
Adm. Pub. (Lic.)	sub sec obras sanitarias - municip. de paraná	Público	Finalizado	2021-12-13	2022-12-12	NA	NA	NA	NA	NA	NA	2021
Biblio. (Tec.)	utn	Público	Finalizado	2022-06-27	2022-12-26	NA	NA	NA	NA	NA	NA	2022
Marketing (Lic.)	sec. gobierno - municipalidad de paraná	Público	Activo	2022-06-09	2023-06-09	NA	NA	NA	NA	NA	NA	2022
